student_id,subject,late,full_name
1,herbology,60.0,Jorge Sullivan
3,herbology,60.0,Susan Wagner
6,herbology,60.0,Stephanie Collins
11,herbology,55.0,Kimberly Smith
12,herbology,60.0,Jennifer Summers
16,herbology,47.0,Walter Pratt
18,herbology,60.0,Tasha Rodriguez
20,herbology,60.0,Kimberly Maynard
24,herbology,48.0,Mary Alvarez
26,herbology,60.0,Sarah Villanueva
932,herbology,60.0,Brian Hamilton
933,herbology,0.0,Susan Levy
934,herbology,60.0,Sean Green
936,herbology,60.0,Jennifer Summers
938,herbology,60.0,Dana Nguyen
941,herbology,60.0,Bobby Flores
942,herbology,60.0,Tasha Rodriguez
944,herbology,60.0,Kimberly Maynard
955,herbology,60.0,Whitney Stark
31,herbology,59.0,Whitney Stark
33,herbology,60.0,Norma Fisher
35,herbology,60.0,Elizabeth Woods
38,herbology,60.0,Theodore Mcgrath
39,herbology,60.0,Stephanie Collins
47,herbology,0.0,Dana Nguyen
50,herbology,60.0,Bobby Flores
51,herbology,60.0,Tasha Rodriguez
53,herbology,60.0,Kimberly Maynard
54,herbology,60.0,Laurie Wallace
56,herbology,60.0,Collin Lopez
963,herbology,60.0,Stephanie Collins
965,herbology,60.0,Brian Hamilton
968,herbology,60.0,Kimberly Smith
975,herbology,60.0,Tasha Rodriguez
978,herbology,0.0,Laurie Wallace
301,herbology,60.0,Peter Montgomery
303,herbology,60.0,Stephanie Collins
314,herbology,60.0,Bobby Flores
319,herbology,60.0,Janice Johnston
325,herbology,60.0,Desiree Cain
327,herbology,60.0,Lauren Hayes
332,herbology,60.0,Elizabeth Woods
333,herbology,60.0,Susan Wagner
340,herbology,60.0,Sean Green
345,herbology,60.0,Cheryl Bradley
349,herbology,60.0,Michelle Kelley
354,herbology,60.0,Mary Alvarez
356,herbology,60.0,Sarah Villanueva
359,herbology,60.0,Stephanie Lawrence
363,herbology,60.0,Norma Fisher
365,herbology,60.0,Elizabeth Woods
367,herbology,60.0,Peter Montgomery
370,herbology,60.0,Stephanie Sutton
372,herbology,60.0,Susan Levy
382,herbology,60.0,Michelle Kelley
388,herbology,60.0,Peter Mcdowell
398,herbology,45.0,Elizabeth Woods
406,herbology,60.0,Sean Green
411,herbology,60.0,Cheryl Bradley
420,herbology,60.0,Mary Alvarez
438,herbology,60.0,Susan Levy
439,herbology,60.0,Sean Green
440,herbology,60.0,Kimberly Smith
453,herbology,60.0,Mary Alvarez
455,herbology,60.0,Sarah Villanueva
458,herbology,60.0,Stephanie Lawrence
463,herbology,60.0,Jorge Sullivan
477,herbology,60.0,Cheryl Bradley
479,herbology,60.0,Bobby Flores
487,herbology,60.0,Peter Mcdowell
490,herbology,60.0,Desiree Cain
492,herbology,60.0,Lauren Hayes
494,herbology,60.0,Angela Salazar
497,herbology,60.0,Elizabeth Woods
506,herbology,60.0,Kimberly Smith
510,herbology,0.0,Cheryl Bradley
513,herbology,53.0,Tasha Rodriguez
514,herbology,60.0,Michelle Kelley
519,herbology,60.0,Mary Alvarez
521,herbology,60.0,Sarah Villanueva
523,herbology,60.0,Desiree Cain
525,herbology,60.0,Lauren Hayes
526,herbology,60.0,Whitney Stark
536,herbology,60.0,Brian Hamilton
538,herbology,60.0,Sean Green
542,herbology,57.0,Dana Nguyen
543,herbology,60.0,Cheryl Bradley
547,herbology,60.0,Michelle Kelley
548,herbology,60.0,Kimberly Maynard
554,herbology,60.0,Sarah Villanueva
556,herbology,60.0,Desiree Cain
565,herbology,60.0,Peter Montgomery
568,herbology,60.0,Stephanie Sutton
571,herbology,60.0,Sean Green
575,herbology,60.0,Dana Nguyen
577,herbology,60.0,Walter Pratt
578,herbology,60.0,Bobby Flores
593,herbology,60.0,Angela Salazar
595,herbology,60.0,Jorge Sullivan
599,herbology,60.0,Theodore Mcgrath
60,herbology,60.0,Kimberly Myers
61,herbology,60.0,Desiree Cain
68,herbology,60.0,Elizabeth Woods
70,herbology,60.0,Peter Montgomery
89,herbology,60.0,Collin Lopez
601,herbology,0.0,Stephanie Sutton
603,herbology,60.0,Susan Levy
606,herbology,0.0,Jennifer Summers
608,herbology,60.0,Dana Nguyen
609,herbology,60.0,Cheryl Bradley
614,herbology,60.0,Kimberly Maynard
619,herbology,60.0,Peter Mcdowell
621,herbology,60.0,Kimberly Myers
629,herbology,60.0,Elizabeth Woods
639,herbology,60.0,Jennifer Summers
649,herbology,60.0,Janice Johnston
658,herbology,60.0,Whitney Stark
660,herbology,60.0,Norma Fisher
662,herbology,60.0,Elizabeth Woods
663,herbology,60.0,Susan Wagner
665,herbology,60.0,Theodore Mcgrath
668,herbology,60.0,Brian Hamilton
670,herbology,60.0,Sean Green
674,herbology,60.0,Dana Nguyen
676,herbology,41.0,Walter Pratt
678,herbology,55.0,Tasha Rodriguez
679,herbology,60.0,Michelle Kelley
687,herbology,60.0,Kimberly Myers
701,herbology,60.0,Brian Hamilton
710,herbology,60.0,Bobby Flores
713,herbology,60.0,Kimberly Maynard
714,herbology,60.0,Laurie Wallace
721,herbology,60.0,Desiree Cain
731,herbology,60.0,Theodore Mcgrath
746,herbology,60.0,Kimberly Maynard
747,herbology,60.0,Laurie Wallace
750,herbology,60.0,Mary Alvarez
763,herbology,60.0,Peter Montgomery
764,herbology,60.0,Theodore Mcgrath
781,herbology,60.0,Janice Johnston
785,herbology,60.0,Sarah Villanueva
786,herbology,60.0,Kimberly Myers
788,herbology,60.0,Stephanie Lawrence
800,herbology,60.0,Brian Hamilton
801,herbology,60.0,Susan Levy
811,herbology,60.0,Michelle Kelley
812,herbology,60.0,Kimberly Maynard
815,herbology,60.0,Collin Lopez
820,herbology,60.0,Desiree Cain
824,herbology,60.0,Angela Salazar
827,herbology,60.0,Elizabeth Woods
835,herbology,60.0,Sean Green
846,herbology,46.0,Laurie Wallace
851,herbology,60.0,Sarah Villanueva
852,herbology,60.0,Kimberly Myers
863,herbology,60.0,Theodore Mcgrath
873,herbology,60.0,Cheryl Bradley
880,herbology,60.0,Janice Johnston
890,herbology,60.0,Angela Salazar
895,herbology,60.0,Peter Montgomery
896,herbology,60.0,Theodore Mcgrath
97,herbology,60.0,Whitney Stark
98,herbology,60.0,Angela Salazar
99,herbology,60.0,Norma Fisher
102,herbology,60.0,Susan Wagner
106,herbology,60.0,Stephanie Sutton
112,herbology,60.0,April Snyder
115,herbology,60.0,Walter Pratt
118,herbology,60.0,Michelle Kelley
900,herbology,60.0,Susan Levy
901,herbology,60.0,Sean Green
907,herbology,60.0,Walter Pratt
912,herbology,60.0,Laurie Wallace
921,herbology,60.0,Lauren Hayes
923,herbology,60.0,Angela Salazar
928,herbology,60.0,Peter Montgomery
122,herbology,45.0,Collin Lopez
126,herbology,60.0,Kimberly Myers
129,herbology,60.0,Lauren Hayes
137,herbology,60.0,Theodore Mcgrath
141,herbology,60.0,Susan Levy
152,herbology,60.0,Kimberly Maynard
164,herbology,60.0,Angela Salazar
167,herbology,60.0,Elizabeth Woods
170,herbology,60.0,Theodore Mcgrath
172,herbology,60.0,Stephanie Sutton
175,herbology,60.0,Sean Green
178,herbology,60.0,April Snyder
182,herbology,60.0,Bobby Flores
183,herbology,60.0,Tasha Rodriguez
185,herbology,60.0,Kimberly Maynard
188,herbology,60.0,Collin Lopez
193,herbology,60.0,Desiree Cain
196,herbology,60.0,Whitney Stark
207,herbology,60.0,Susan Levy
210,herbology,60.0,Jennifer Summers
215,herbology,60.0,Bobby Flores
219,herbology,60.0,Laurie Wallace
