student_id,subject,late,full_name
31,herbology,59.0,Whitney Stark
144,biology,59.0,Jennifer Summers
868,biology,59.0,Sean Green
179,biology,59.0,Dana Nguyen
236,p.e,58.0,Theodore Mcgrath
145,biology,58.0,April Snyder
909,p.e,58.0,Tasha Rodriguez
326,p.e,57.0,Stephanie Lawrence
542,herbology,57.0,Dana Nguyen
268,p.e,55.0,Peter Montgomery
808,p.e,55.0,Walter Pratt
11,herbology,55.0,Kimberly Smith
904,biology,55.0,April Snyder
678,herbology,55.0,Tasha Rodriguez
756,p.e,54.0,Lauren Hayes
722,biology,54.0,Stephanie Lawrence
486,biology,54.0,Mary Alvarez
513,herbology,53.0,Tasha Rodriguez
837,p.e,53.0,Jennifer Summers
136,p.e,52.0,Peter Montgomery
478,biology,52.0,Walter Pratt
396,p.e,50.0,Norma Fisher
914,p.e,50.0,Collin Lopez
623,biology,50.0,Stephanie Lawrence
706,biology,49.0,April Snyder
24,herbology,48.0,Mary Alvarez
357,biology,47.0,Kimberly Myers
419,p.e,47.0,Collin Lopez
16,herbology,47.0,Walter Pratt
78,p.e,46.0,Jennifer Summers
846,herbology,46.0,Laurie Wallace
52,biology,46.0,Michelle Kelley
398,herbology,45.0,Elizabeth Woods
559,p.e,45.0,Whitney Stark
122,herbology,45.0,Collin Lopez
76,p.e,44.0,Sean Green
935,p.e,44.0,Kimberly Smith
499,p.e,44.0,Peter Montgomery
476,p.e,44.0,Dana Nguyen
10,biology,43.0,Sean Green
284,herbology,42.0,Kimberly Maynard
348,p.e,42.0,Tasha Rodriguez
386,p.e,42.0,Collin Lopez
676,herbology,41.0,Walter Pratt
67,biology,40.0,Jorge Sullivan
829,physics,20.0,Peter Montgomery
343,physics,19.0,April Snyder
555,math,19.0,Kimberly Myers
881,math,18.0,Collin Lopez
647,math,17.0,Kimberly Maynard
969,physics,16.0,Jennifer Summers
59,math,16.0,Sarah Villanueva
95,physics,14.0,Stephanie Lawrence
641,physics,14.0,Dana Nguyen
979,math,13.0,Janice Johnston
424,math,12.0,Desiree Cain
322,math,12.0,Peter Mcdowell
796,physics,12.0,Peter Montgomery
531,math,11.0,Susan Wagner
429,physics,11.0,Norma Fisher
830,math,10.0,Theodore Mcgrath
23,physics,9.0,Collin Lopez
899,physics,8.0,Brian Hamilton
974,math,8.0,Bobby Flores
133,physics,8.0,Jorge Sullivan
826,physics,8.0,Jorge Sullivan
515,physics,7.0,Kimberly Maynard
437,physics,7.0,Brian Hamilton
151,math,7.0,Michelle Kelley
350,physics,7.0,Kimberly Maynard
380,math,7.0,Bobby Flores
48,physics,7.0,Cheryl Bradley
541,physics,7.0,April Snyder
857,math,6.0,Angela Salazar
656,physics,6.0,Stephanie Lawrence
582,physics,6.0,Laurie Wallace
985,math,5.0,Desiree Cain
317,math,4.0,Kimberly Maynard
498,math,4.0,Susan Wagner
254,math,4.0,Collin Lopez
694,math,4.0,Jorge Sullivan
436,math,3.0,Stephanie Sutton
483,math,3.0,Laurie Wallace
250,physics,3.0,Michelle Kelley
627,physics,2.0,Norma Fisher
686,math,2.0,Sarah Villanueva
741,math,1.0,Cheryl Bradley
733,physics,1.0,Stephanie Sutton
366,physics,0.0,Susan Wagner
405,physics,0.0,Susan Levy
358,physics,0.0,Desiree Cain
403,physics,0.0,Stephanie Sutton
362,physics,0.0,Angela Salazar
387,physics,0.0,Mary Alvarez
369,physics,0.0,Stephanie Collins
390,physics,0.0,Kimberly Myers
375,physics,0.0,Jennifer Summers
376,physics,0.0,April Snyder
378,physics,0.0,Cheryl Bradley
422,physics,0.0,Sarah Villanueva
401,physics,0.0,Theodore Mcgrath
379,physics,0.0,Walter Pratt
435,physics,0.0,Stephanie Collins
423,physics,0.0,Kimberly Myers
426,physics,0.0,Lauren Hayes
503,physics,0.0,Brian Hamilton
495,physics,0.0,Norma Fisher
488,physics,0.0,Sarah Villanueva
482,physics,0.0,Kimberly Maynard
474,physics,0.0,Jennifer Summers
468,physics,0.0,Stephanie Collins
