student_id,subject,late,full_name
4,biology,60.0,Peter Montgomery
5,biology,60.0,Theodore Mcgrath
8,biology,60.0,Brian Hamilton
9,biology,60.0,Susan Levy
10,biology,43.0,Sean Green
21,biology,60.0,Laurie Wallace
22,biology,60.0,Janice Johnston
27,biology,60.0,Kimberly Myers
948,biology,60.0,Mary Alvarez
32,biology,60.0,Angela Salazar
36,biology,60.0,Susan Wagner
43,biology,60.0,Sean Green
45,biology,60.0,Jennifer Summers
46,biology,60.0,April Snyder
52,biology,46.0,Michelle Kelley
55,biology,60.0,Janice Johnston
973,biology,60.0,Walter Pratt
977,biology,60.0,Kimberly Maynard
982,biology,60.0,Peter Mcdowell
989,biology,60.0,Angela Salazar
300,biology,60.0,Susan Wagner
302,biology,60.0,Theodore Mcgrath
304,biology,60.0,Stephanie Sutton
308,biology,60.0,Kimberly Smith
309,biology,60.0,Jennifer Summers
320,biology,60.0,Collin Lopez
357,biology,47.0,Kimberly Myers
384,biology,60.0,Laurie Wallace
389,biology,60.0,Sarah Villanueva
391,biology,60.0,Desiree Cain
400,biology,60.0,Peter Montgomery
414,biology,60.0,Tasha Rodriguez
425,biology,60.0,Stephanie Lawrence
428,biology,60.0,Angela Salazar
448,biology,60.0,Michelle Kelley
456,biology,60.0,Kimberly Myers
457,biology,60.0,Desiree Cain
462,biology,60.0,Norma Fisher
469,biology,60.0,Stephanie Sutton
472,biology,60.0,Sean Green
478,biology,52.0,Walter Pratt
480,biology,60.0,Tasha Rodriguez
484,biology,60.0,Janice Johnston
486,biology,54.0,Mary Alvarez
496,biology,60.0,Jorge Sullivan
501,biology,60.0,Stephanie Collins
529,biology,60.0,Jorge Sullivan
530,biology,60.0,Elizabeth Woods
532,biology,60.0,Peter Montgomery
535,biology,60.0,Stephanie Sutton
549,biology,60.0,Laurie Wallace
561,biology,60.0,Norma Fisher
580,biology,60.0,Michelle Kelley
583,biology,60.0,Janice Johnston
588,biology,60.0,Kimberly Myers
591,biology,60.0,Lauren Hayes
597,biology,0.0,Susan Wagner
63,biology,60.0,Lauren Hayes
64,biology,60.0,Whitney Stark
65,biology,60.0,Angela Salazar
67,biology,40.0,Jorge Sullivan
73,biology,60.0,Stephanie Sutton
83,biology,60.0,Bobby Flores
84,biology,60.0,Tasha Rodriguez
604,biology,60.0,Sean Green
605,biology,60.0,Kimberly Smith
607,biology,60.0,April Snyder
610,biology,60.0,Walter Pratt
613,biology,60.0,Michelle Kelley
617,biology,60.0,Collin Lopez
620,biology,60.0,Sarah Villanueva
622,biology,60.0,Desiree Cain
623,biology,50.0,Stephanie Lawrence
626,biology,60.0,Angela Salazar
630,biology,60.0,Susan Wagner
