student_id,subject,late,full_name
7,p.e,60.0,Stephanie Sutton
13,p.e,60.0,April Snyder
14,p.e,60.0,Dana Nguyen
19,p.e,60.0,Michelle Kelley
29,p.e,60.0,Stephanie Lawrence
930,p.e,60.0,Stephanie Collins
935,p.e,44.0,Kimberly Smith
939,p.e,60.0,Cheryl Bradley
940,p.e,0.0,Walter Pratt
943,p.e,60.0,Michelle Kelley
947,p.e,60.0,Collin Lopez
951,p.e,60.0,Kimberly Myers
953,p.e,60.0,Stephanie Lawrence
956,p.e,60.0,Angela Salazar
959,p.e,60.0,Elizabeth Woods
34,p.e,60.0,Jorge Sullivan
42,p.e,60.0,Susan Levy
57,p.e,0.0,Mary Alvarez
58,p.e,60.0,Peter Mcdowell
971,p.e,60.0,Dana Nguyen
972,p.e,60.0,Cheryl Bradley
976,p.e,0.0,Michelle Kelley
984,p.e,60.0,Kimberly Myers
987,p.e,60.0,Lauren Hayes
312,p.e,60.0,Cheryl Bradley
321,p.e,60.0,Mary Alvarez
326,p.e,57.0,Stephanie Lawrence
328,p.e,0.0,Whitney Stark
342,p.e,60.0,Jennifer Summers
347,p.e,60.0,Bobby Flores
348,p.e,42.0,Tasha Rodriguez
352,p.e,60.0,Janice Johnston
361,p.e,60.0,Whitney Stark
373,p.e,60.0,Sean Green
377,p.e,60.0,Dana Nguyen
381,p.e,60.0,Tasha Rodriguez
385,p.e,60.0,Janice Johnston
386,p.e,42.0,Collin Lopez
392,p.e,60.0,Stephanie Lawrence
395,p.e,60.0,Angela Salazar
396,p.e,50.0,Norma Fisher
397,p.e,60.0,Jorge Sullivan
407,p.e,60.0,Kimberly Smith
408,p.e,60.0,Jennifer Summers
410,p.e,60.0,Dana Nguyen
415,p.e,60.0,Michelle Kelley
416,p.e,60.0,Kimberly Maynard
417,p.e,60.0,Laurie Wallace
419,p.e,47.0,Collin Lopez
430,p.e,60.0,Jorge Sullivan
432,p.e,0.0,Susan Wagner
434,p.e,60.0,Theodore Mcgrath
446,p.e,60.0,Bobby Flores
451,p.e,60.0,Janice Johnston
461,p.e,60.0,Angela Salazar
464,p.e,60.0,Elizabeth Woods
473,p.e,60.0,Kimberly Smith
475,p.e,60.0,April Snyder
476,p.e,44.0,Dana Nguyen
489,p.e,60.0,Kimberly Myers
499,p.e,44.0,Peter Montgomery
500,p.e,60.0,Theodore Mcgrath
502,p.e,60.0,Stephanie Sutton
509,p.e,60.0,Dana Nguyen
516,p.e,60.0,Laurie Wallace
517,p.e,60.0,Janice Johnston
527,p.e,60.0,Angela Salazar
534,p.e,60.0,Stephanie Collins
539,p.e,60.0,Kimberly Smith
552,p.e,60.0,Mary Alvarez
557,p.e,60.0,Stephanie Lawrence
558,p.e,60.0,Lauren Hayes
559,p.e,45.0,Whitney Stark
562,p.e,60.0,Jorge Sullivan
570,p.e,60.0,Susan Levy
574,p.e,60.0,April Snyder
585,p.e,60.0,Mary Alvarez
